Validation Rewards,External Rewards
144724.3441194773,-3731974.1799999774
176687.5,-3723595.239999988
174811.5,-3890392.8199999705
139122.0,-3933685.0999999708
144703.4343257443,-4022936.91999997
175584.87964031825,-3866421.3399999775
142366.3656938654,-3961450.379999981
145433.8656938654,-3948830.6799999806
147475.3656938654,-3962932.399999979
146659.06233622323,-3963983.7799999807
157436.56233622323,-3864046.339999975
156135.8656938654,-3855307.199999968
154720.8656938654,-3856273.6799999694
146112.56529565732,-3869912.1399999736
146519.8656938654,-3866727.5599999744
143178.8656938654,-3875031.3199999747
142988.4607660406,-3902473.9199999874
138334.8656938654,-3916187.8799999794
153701.44531457394,-3852010.8799999817
158961.41100889907,-3840291.2599999784
152330.47668315476,-3862019.399999978
152185.19932111324,-3861887.319999979
142753.69932111324,-3893928.4199999785
145744.8883126739,-3891407.5599999856
145744.8883126739,-3891407.5599999856
152061.3656938654,-3905899.799999982
148278.3883126739,-3916956.0199999837
148487.3883126739,-3915507.0399999833
146717.3883126739,-3906157.5999999866
148151.03136858082,-3909009.6599999866
142366.3883126739,-3921587.3999999883
176034.8883126739,-3803244.0399999823
194865.97668315476,-3704084.8599999803
195024.97668315476,-3702466.47999998
195024.97668315476,-3702466.47999998
194144.83362724783,-3701598.419999979
194258.83362724783,-3701143.739999978
196782.83362724783,-3693664.19999998
193781.33362724783,-3702329.959999978
194327.97668315476,-3703088.95999998
196088.97668315476,-3690829.0599999805
194260.97668315476,-3695680.65999998
195634.97668315476,-3692366.999999981
194975.83362724783,-3691842.7199999783
194885.33362724783,-3691556.3399999784
193714.47668315476,-3698278.05999998
193714.47668315476,-3698278.05999998
187346.47668315476,-3746598.079999982
189351.47668315476,-3756530.8199999835
189401.47668315476,-3757053.279999984
198840.47668315476,-3704017.53999998
202091.41100889907,-3692545.6799999825
202091.41100889907,-3692545.6799999825
202129.91100889907,-3693045.1599999825
214855.91100889907,-3664292.459999982
218749.91100889907,-3662070.5599999814
218028.91100889907,-3667913.3999999836
218028.91100889907,-3667913.3999999836
218083.91100889907,-3668036.2599999835
218083.91100889907,-3668036.2599999835
218083.91100889907,-3668036.2599999835
218083.91100889907,-3668036.2599999835
218083.91100889907,-3668036.2599999835
218083.91100889907,-3668036.2599999835
218114.41100889907,-3667796.2599999835
218039.41100889907,-3667817.359999984
218039.41100889907,-3667817.359999984
219482.91100889907,-3661526.7399999807
218825.91100889907,-3663962.2199999844
218868.41100889907,-3664065.299999984
218868.41100889907,-3664065.299999984
218868.41100889907,-3664065.299999984
218928.41100889907,-3663609.0999999843
218928.41100889907,-3663609.0999999843
218928.41100889907,-3663609.0999999843
221307.91100889907,-3657556.5799999824
221307.91100889907,-3657556.5799999824
233747.91100889907,-3619874.7399999844
234200.2386477977,-3620326.7999999854
234200.2386477977,-3620326.7999999854
234200.2386477977,-3620326.7999999854
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
